id_pelicula,titulo,popularidad,votos_promedio,clasificacion_chile,restriccion_horaria,promocion_permitida,fuente
1368166,La asistenta,50.6117,7.253,14+,Promoción restringida después de las 22:00,Permitida solo con contenido para mayores,TMDB + reglas Chile
1368337,La Odisea,41.6919,0.0,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1368881,Las damas primero,14.2909,5.977,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
137051,Midnight Matinee,46.6774,5.4,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1375646,Colony,37.7095,6.9,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1380126,Pin/Ya,26.4677,5.7,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1380291,Jack Ryan de Tom Clancy: Guerra Encubierta,106.5975,7.062,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
138843,Expediente Warren: The Conjuring,19.2527,7.54,14+,Promoción restringida después de las 22:00,Permitida solo con contenido para mayores,TMDB + reglas Chile
1390300,Por encima de tu cadáver,70.2875,6.559,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
14035,Los incorregibles albóndigas,29.5856,5.819,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1411773,The Last Stand of Ellen Cole,30.0186,7.844,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1414413,Operación Sierra Madre,23.7065,5.9,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1419406,Escuadrón letal,99.1536,7.762,14+,Promoción restringida después de las 22:00,Permitida solo con contenido para mayores,TMDB + reglas Chile
1426822,Mortal Game,16.4859,4.917,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1430077,Hokum,77.1327,6.706,14+,Promoción restringida después de las 22:00,Permitida solo con contenido para mayores,TMDB + reglas Chile
1433117,Kara,54.8121,6.1,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
143449,色情姉妹,11.4547,4.8,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1439584,Ugly Story,20.5506,4.0,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1439930,The Punisher: One Last Kill,130.3253,8.3,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1470130,The Mortuary Assistant,22.8095,5.5,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1472951,Dura de matar,52.006,5.684,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1473332,Nadie va a escuchar tu grito,25.3118,5.375,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
14836,Los mundos de Coraline,28.8929,7.9,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1486860,Haunted 3D: Echoes of the Past,103.8363,10.0,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1501018,Una familia de bastardos,31.9989,5.3,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
150540,Del revés (Inside Out),23.6628,7.9,TE,Permitida en horario familiar,Permitida para campañas familiares,TMDB + reglas Chile
1510769,29,14.8701,7.167,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1515729,Blast,31.8568,7.0,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1522126,1000 Men and Me: The Bonnie Blue Story,88.1426,5.4,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1523145,Tu corazón se romperá,289.8489,7.041,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1530510,México 86,20.4578,7.58,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
15356,La chica de al lado,22.0487,6.652,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1536233,The Summoning of Baby Blue,90.6717,4.8,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1539104,JUJUTSU KAISEN: Ejecución,24.3911,6.0,14+,Promoción restringida después de las 22:00,Permitida solo con contenido para mayores,TMDB + reglas Chile
155,El caballero oscuro,44.4786,8.531,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1551003,R.L. Stine's Pumpkinhead,14.2247,7.036,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1556616,La casa de la playa,21.6532,7.5,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1560681,Los colores del mal: Negro,54.8553,6.829,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1571594,La fotógrafa,14.2862,7.2,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
157336,Interstellar,67.8031,8.478,TE+7,Permitida en horario familiar,Permitida para campañas familiares,TMDB + reglas Chile
1582770,Patriotismo 2,125.2517,7.3,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1598785,Milky☆Subway: The Galactic Limited Express - La película,26.3339,9.308,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1599189,剑来院线剧场版 十三之争,42.1403,0.0,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1599191,仙逆剧场版 弑仙之战,15.7954,0.0,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1604143,나는 신혼 너는 재혼,151.7518,0.0,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1613798,Venganza,42.2928,7.517,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1628367,La fuerza del deber,20.5069,6.5,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1628448,"¡Ay, mamá!",71.2158,6.667,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1630423,Sangre asesina,36.2757,8.656,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1632181,Socias por accidente,21.8565,9.07,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1641319,Sniper: En tierra de nadie,27.9162,6.518,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1646787,Sundutan,24.0331,4.0,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1653208,The Great Grand Superhero,6.1321,0.0,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1658216,Stepdaddy,35.1473,5.3,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1663082,The Last Supper,17.8574,7.5,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1669050,Tayuan 2,18.4141,4.9,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1669051,Kesong Puti,39.311,4.0,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1694978,Chum,89.6033,5.033,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1699155,Instinto maternal,27.956,7.291,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1699574,देऊळ बँड 2,22.5047,0.0,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
177572,Big Hero 6,21.3756,7.725,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
19995,Avatar,33.3072,7.607,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
204407,Bosco d'amore,59.7745,4.667,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
216015,Cincuenta sombras de Grey,27.2787,5.866,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
22,Piratas del Caribe: La maldición de la Perla Negra,23.6106,7.826,TE,Permitida en horario familiar,Permitida para campañas familiares,TMDB + reglas Chile
226674,La adolescente,48.5115,4.5,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
235271,Perversa adicción,51.0403,5.91,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
